,RATING
0,3.8
1,4.0
2,3.8
3,4.0
4,4.0
5,4.6
6,4.0
7,2.4
8,4.0
9,3.6
10,4.2
11,4.0
12,3.2
13,3.4
14,4.2
15,3.8
16,4.2
17,4.0
18,3.6
19,3.6
20,3.8
21,4.0
22,4.0
23,3.8
24,4.2
25,3.6
26,4.2
27,4.0
28,4.2
29,4.0
30,3.6
31,4.2
32,4.0
33,4.0
34,3.0
35,3.8
36,4.4
37,4.2
38,4.0
39,2.8
40,3.8
41,2.8
42,3.6
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.2
49,3.8
50,4.4
51,4.0
52,3.4
53,3.8
54,4.0
55,4.0
56,3.4
57,4.2
58,3.6
59,3.0
60,3.8
61,4.0
62,3.8
63,4.0
64,4.0
65,4.6
66,4.0
67,2.4
68,4.0
69,3.6
70,4.2
71,4.0
72,3.2
73,3.4
74,4.2
75,3.8
76,4.2
77,4.0
78,3.6
79,3.6
80,3.8
81,4.0
82,4.0
83,3.8
84,4.2
85,3.6
86,4.2
87,4.0
88,4.2
89,4.0
90,3.6
91,4.2
92,4.0
93,4.0
94,3.0
95,3.8
96,4.4
97,4.2
98,4.0
99,2.8
100,3.8
101,2.8
102,3.6
103,4.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.2
109,3.8
110,4.4
111,4.0
112,3.4
113,3.8
114,4.0
115,4.0
116,3.4
117,4.2
118,3.6
119,3.0
120,3.8
121,4.0
122,3.8
123,4.0
124,4.0
125,4.6
126,4.0
127,2.4
128,4.0
129,3.6
130,4.2
131,4.0
132,3.2
133,3.4
134,4.2
135,3.8
136,4.2
137,4.0
138,3.6
139,3.6
140,3.8
141,4.0
142,4.0
143,3.8
144,4.2
145,3.6
146,4.2
147,4.0
148,4.2
149,4.0
150,3.6
151,4.2
152,4.0
153,4.0
154,3.0
155,3.8
156,4.4
157,4.2
158,4.0
159,2.8
160,3.8
161,2.8
162,3.6
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.2
169,3.8
170,4.4
171,4.0
172,3.4
173,3.8
174,4.0
175,4.0
176,3.4
177,4.2
178,3.6
179,3.0
180,3.8
181,4.0
182,3.8
183,4.0
184,4.0
185,4.6
186,4.0
187,2.4
188,4.0
189,3.6
190,4.2
191,4.0
192,3.2
193,3.4
194,4.2
195,3.8
196,4.2
197,4.0
198,3.6
199,3.6
200,3.8
201,4.0
202,4.0
203,3.8
204,4.2
205,3.6
206,4.2
207,4.0
208,4.2
209,4.0
210,3.6
211,4.2
212,4.0
213,4.0
214,3.0
215,3.8
216,4.4
217,4.2
218,4.0
219,2.8
220,3.8
221,2.8
222,3.6
223,4.0
224,4.0
225,4.0
226,4.0
227,4.0
228,4.2
229,3.8
230,4.4
231,4.0
232,3.4
233,3.8
234,4.0
235,4.0
236,3.4
237,4.2
238,3.6
239,3.0
240,3.8
241,4.0
242,3.8
243,4.0
244,4.0
245,4.6
246,4.0
247,2.4
248,4.0
249,3.6
250,4.2
251,4.0
252,3.2
253,3.4
254,4.2
255,3.8
